tradeDate,investorGroup,displayName,netAmount,netQuantity,flowState,flowSpeedNorm,flowMomentum
2025-11-20T00:00:00.000Z,개인,개인,-710576,-7026742,REVERSAL,-2.4332794044621653,-91769.47142857143
2025-11-20T00:00:00.000Z,외국인,외국인,528914,5243722,STRONG_INFLOW,2.1924999506394975,119495.88571428572
2025-11-20T00:00:00.000Z,금융투자,금융투자,202683,1990490,STRONG_INFLOW,0.7504857732134578,-2669.1714285714284
2025-11-20T00:00:00.000Z,투자신탁,투자신탁,-23671,-235447,REVERSAL,-2.30582699513276,-10129.214285714286
2025-11-20T00:00:00.000Z,사모펀드,사모펀드,-388,-5738,REVERSAL,-0.4163739970914415,-5672.142857142857
2025-11-20T00:00:00.000Z,보험,보험,2476,24473,STRONG_INFLOW,2.363660954596481,-1969.357142857143
2025-11-20T00:00:00.000Z,은행,은행,1055,10465,STRONG_INFLOW,0.39219288174512057,-3.357142857142857
2025-11-20T00:00:00.000Z,연기금,연기금,-4412,-39114,NEUTRAL,1.669366040307152,-11592.814285714287
2025-11-20T00:00:00.000Z,기타법인,기타법인,3633,35120,STRONG_INFLOW,0.8049104018090955,4673.071428571428
2025-11-20T00:00:00.000Z,기타기관,기타기관,0,0,NEUTRAL,,0
2025-11-19T00:00:00.000Z,개인,개인,124899,1294196,NEUTRAL,0.10420633081997172,33331.230769230766
2025-11-19T00:00:00.000Z,외국인,외국인,-200812,-2083771,NEUTRAL,-0.8931287859970823,100400.61538461539
2025-11-19T00:00:00.000Z,금융투자,금융투자,102097,1061780,NEUTRAL,1.7869274610191628,-104939.50769230768
2025-11-19T00:00:00.000Z,투자신탁,투자신탁,16022,164361,STRONG_INFLOW,1.3454133843775307,-10169.969230769231
2025-11-19T00:00:00.000Z,사모펀드,사모펀드,11637,120256,NEUTRAL,1.48860710607621,-8096.092307692307
2025-11-19T00:00:00.000Z,보험,보험,-10007,-104295,REVERSAL,-2.752228488266327,-2946.4461538461537
2025-11-19T00:00:00.000Z,은행,은행,201,2079,NEUTRAL,0.6820251444104655,-98.6923076923077
2025-11-19T00:00:00.000Z,연기금,연기금,-36261,-373601,REVERSAL,-1.4299717915237526,-11208.061538461538
2025-11-19T00:00:00.000Z,기타법인,기타법인,-8113,-84527,NEUTRAL,-0.3743197719616481,4072.5692307692307
2025-11-19T00:00:00.000Z,기타기관,기타기관,0,0,NEUTRAL,,0
2025-11-18T00:00:00.000Z,개인,개인,92063,956454,STRONG_INFLOW,1.2879923172101844,50843.8
2025-11-18T00:00:00.000Z,외국인,외국인,82975,809607,NEUTRAL,-0.6767338359793073,46799.666666666664
2025-11-18T00:00:00.000Z,금융투자,금융투자,-127964,-1291284,REVERSAL,-1.0740145455933725,-71741.7
2025-11-18T00:00:00.000Z,투자신탁,투자신탁,-6470,-65860,REVERSAL,-1.601144526243629,-12949.333333333334
2025-11-18T00:00:00.000Z,사모펀드,사모펀드,-34617,-352727,REVERSAL,-1.7475140135457903,-4709.683333333333
2025-11-18T00:00:00.000Z,보험,보험,5122,52099,STRONG_INFLOW,1.911478504247079,-3058.8333333333335
2025-11-18T00:00:00.000Z,은행,은행,-1343,-13774,NEUTRAL,-0.5509596633480448,122.85
2025-11-18T00:00:00.000Z,연기금,연기금,-7366,-68900,NEUTRAL,0.32211848462632386,-13411.666666666666
2025-11-18T00:00:00.000Z,기타법인,기타법인,-2335,-24968,STRONG_INFLOW,0.23519513905118017,8497.15
2025-11-18T00:00:00.000Z,기타기관,기타기관,0,0,NEUTRAL,,0
2025-11-17T00:00:00.000Z,개인,개인,-334206,-3330839,REVERSAL,-3.4618512964983603,-49549.63636363637
2025-11-17T00:00:00.000Z,외국인,외국인,304598,3035482,STRONG_INFLOW,2.546367914902798,97245.12727272727
2025-11-17T00:00:00.000Z,금융투자,금융투자,12697,127035,NEUTRAL,1.842174605131729,-35253.236363636366
2025-11-17T00:00:00.000Z,투자신탁,투자신탁,20390,203259,NEUTRAL,2.3105894187932416,-10365.981818181817
2025-11-17T00:00:00.000Z,사모펀드,사모펀드,22512,223985,NEUTRAL,1.850627093339894,3903.836363636364
