date,open,high,low,close,volume
2023-11-27 09:00:00,138716,138716,133222,135773,1263447
2023-11-28 09:00:00,135969,144602,135773,139501,2298664
2023-11-29 09:00:00,142444,145975,138520,145191,2415929
2023-11-30 09:00:00,142639,146760,140873,146760,1911073
2023-12-01 09:00:00,143620,144994,138911,142051,1717525
2023-12-04 09:00:00,137931,140285,130083,130868,8037236
2023-12-05 09:00:00,131260,133026,127728,129102,2195159
2023-12-06 09:00:00,129494,131456,125766,125767,1994058
2023-12-07 09:00:00,127336,127925,119880,124001,2047354
2023-12-08 09:00:00,125570,131849,124393,130868,2336838
2023-12-11 09:00:00,132633,134399,130278,130475,1737366
2023-12-12 09:00:00,130082,131456,128120,129494,1213031
2023-12-13 09:00:00,126551,128120,123019,123412,2041452
2023-12-14 09:00:00,126943,127335,118310,119684,3265375
2023-12-15 09:00:00,123215,130082,122234,126355,3975043
2023-12-18 09:00:00,132045,141070,129690,136754,5975417
2023-12-19 09:00:00,138715,143817,136753,143817,3672068
2023-12-20 09:00:00,145386,145583,140874,142640,2077303
2023-12-21 09:00:00,140481,144013,134595,135773,3550088
2023-12-22 09:00:00,137734,138323,130671,131064,2098796
2023-12-26 09:00:00,128906,130868,124393,125963,2651092
2023-12-27 09:00:00,126355,130475,124589,126159,2258089
2023-12-28 09:00:00,128121,128709,123804,126944,1326586
2024-01-02 09:00:00,127139,129494,124980,125178,1273952
2024-01-03 09:00:00,123608,124785,121449,121646,1404443
2024-01-04 09:00:00,118898,126158,118898,124393,1793660
2024-01-05 09:00:00,124393,130475,121646,128710,2905704
2024-01-08 09:00:00,128905,129101,124981,125374,1179785
2024-01-09 09:00:00,125962,128709,124393,124393,1076469
2024-01-10 09:00:00,124196,125373,121646,121646,1045654
2024-01-11 09:00:00,122627,128317,122627,127336,1932433
2024-01-12 09:00:00,125570,125962,123411,124001,922752
2024-01-15 09:00:00,122038,125178,121057,122235,1029992
2024-01-16 09:00:00,121253,122823,119879,120861,1019391
2024-01-17 09:00:00,119684,120272,116740,116741,1603506
2024-01-18 09:00:00,115367,119879,114778,114779,1563053
2024-01-19 09:00:00,115956,116937,107911,109089,2765330
2024-01-22 09:00:00,107912,109089,100260,101045,2859798
2024-01-23 09:00:00,98885,103006,98101,99671,2265683
