date,open,high,low,close,volume
2023-11-23 09:00:00,107900,108200,105300,106000,536208
2023-11-24 09:00:00,106300,106800,104800,104900,359388
2023-11-27 09:00:00,105300,106000,103800,104100,418757
2023-11-28 09:00:00,105000,105800,103700,104500,543628
2023-11-29 09:00:00,104200,104900,103000,103400,536827
2023-11-30 09:00:00,103000,104000,102500,102700,925212
2023-12-01 09:00:00,103200,103800,102300,102400,465918
2023-12-04 09:00:00,103100,103300,101300,101600,506453
2023-12-05 09:00:00,101600,102200,100900,101100,404265
2023-12-06 09:00:00,101300,101600,99900,100000,772580
2023-12-07 09:00:00,99200,99500,95100,95300,2316717
2023-12-08 09:00:00,96100,96300,93800,94600,1346294
2023-12-11 09:00:00,95000,96400,94300,95000,1155003
2023-12-12 09:00:00,96000,97100,95400,96700,980503
2023-12-13 09:00:00,96900,97200,95700,95800,547785
2023-12-14 09:00:00,97100,97200,96000,96800,1033739
2023-12-15 09:00:00,96900,97400,96400,97200,925632
2023-12-18 09:00:00,97400,97400,96100,96100,537938
2023-12-19 09:00:00,95000,99300,94800,98300,1234344
2023-12-20 09:00:00,99000,99500,98300,99200,570657
2023-12-21 09:00:00,98500,100400,98500,99500,543574
2023-12-22 09:00:00,100400,100400,99000,99700,319969
2023-12-26 09:00:00,100600,100600,99200,100000,313537
2023-12-27 09:00:00,100000,100000,98700,100000,306136
2023-12-28 09:00:00,99900,101900,99500,101800,751858
2024-01-02 09:00:00,101500,101800,100500,101400,407630
2024-01-03 09:00:00,100400,101000,99400,99500,489206
2024-01-04 09:00:00,98500,98700,97200,97800,713479
2024-01-05 09:00:00,97600,97800,96800,97100,472224
2024-01-08 09:00:00,97500,100300,97000,99100,757089
2024-01-09 09:00:00,100100,100700,98000,98000,540554
2024-01-10 09:00:00,98000,98900,97000,97200,508980
2024-01-11 09:00:00,97500,97500,95000,95000,1235778
2024-01-12 09:00:00,95000,95800,94300,94700,583157
2024-01-15 09:00:00,95300,95600,94900,95100,288403
2024-01-16 09:00:00,94700,95400,93700,94600,443988
2024-01-17 09:00:00,94000,94100,90700,91300,922101
2024-01-18 09:00:00,91100,92400,91100,91200,491278
2024-01-19 09:00:00,92200,92400,90900,91800,438001
2024-01-22 09:00:00,92900,92900,90800,91200,500375
2024-01-23 09:00:00,92000,94900,91200,93800,513677
2024-01-24 09:00:00,94300,95200,93200,93900,446762
2024-01-25 09:00:00,93900,94300,92700,94000,300281
2024-01-26 09:00:00,94000,94100,92700,93500,359923
2024-01-29 09:00:00,93600,95500,93600,94300,462718
2024-01-30 09:00:00,95000,95700,94500,94500,441305
2024-01-31 09:00:00,94300,94400,91200,93500,703333
2024-02-01 09:00:00,92600,95600,92500,95100,680461
2024-02-02 09:00:00,95600,97900,95400,97300,937733
2024-02-05 09:00:00,97800,98000,95500,97100,593080
2024-02-06 09:00:00,96800,97700,96600,96600,418705
