date,open,high,low,close,volume
2025-05-19 09:00:00,56400,56400,55500,55800,9802105
2025-05-20 09:00:00,56200,56700,55700,55900,9080577
2025-05-21 09:00:00,56200,56600,55700,55700,7794181
2025-05-22 09:00:00,55300,55500,54500,54700,15254278
2025-05-23 09:00:00,55000,55200,54100,54200,11247115
2025-05-26 09:00:00,53900,55000,53700,54700,10901337
2025-05-27 09:00:00,54200,54500,53800,53900,13439520
2025-05-28 09:00:00,54300,56100,54200,55900,17516283
2025-05-29 09:00:00,56200,56400,55600,56100,12936810
2025-05-30 09:00:00,56200,57200,55800,56200,26219683
2025-06-02 09:00:00,56300,57300,56200,56800,12870515
2025-06-04 09:00:00,57200,57900,56800,57800,19649983
2025-06-05 09:00:00,58100,59900,57900,59100,23266027
2025-06-09 09:00:00,60400,60400,59500,59800,19609659
2025-06-10 09:00:00,60000,60100,58800,59200,15305760
2025-06-11 09:00:00,59500,60100,59400,59900,13610734
2025-06-12 09:00:00,59700,60000,59300,59500,17755115
2025-06-13 09:00:00,60200,60200,57700,58300,20705979
2025-06-16 09:00:00,58000,58100,56900,57200,22200872
2025-06-17 09:00:00,57800,59800,57400,58100,28637003
2025-06-18 09:00:00,58000,59800,57900,59800,17620705
2025-06-19 09:00:00,60500,60600,59000,59200,16876278
2025-06-20 09:00:00,59400,59800,59100,59500,18072251
2025-06-23 09:00:00,58400,58500,57600,58000,16551694
2025-06-24 09:00:00,59400,60600,59300,60500,23737899
2025-06-25 09:00:00,61500,61600,60300,61300,23933612
2025-06-26 09:00:00,61300,61300,59900,60200,19402300
2025-06-27 09:00:00,60100,61600,60000,60800,17340470
2025-06-30 09:00:00,61200,61200,59800,59800,17110294
2025-07-01 09:00:00,60400,61100,60200,60200,13650991
2025-07-02 09:00:00,60200,60900,59800,60800,15047951
2025-07-03 09:00:00,61300,63800,61100,63800,32040639
2025-07-04 09:00:00,64700,64700,63000,63300,23748959
2025-07-07 09:00:00,62900,63300,61700,61700,17164708
2025-07-08 09:00:00,61600,62400,61000,61400,20213724
