date,open,high,low,close,volume
2023-11-21 00:00:00,460145,464061,451333,456229,312352
2023-11-22 00:00:00,452802,464551,452802,461614,218809
2023-11-23 00:00:00,461613,470914,457207,465040,195599
2023-11-24 00:00:00,466019,469446,453292,453292,256259
2023-11-27 00:00:00,455249,456718,443501,443991,211053
2023-11-28 00:00:00,446928,449865,443012,445460,224437
2023-11-29 00:00:00,450844,464551,444480,461614,251235
2023-11-30 00:00:00,461123,463571,453781,462103,391324
2023-12-01 00:00:00,457697,457697,437627,437627,445708
2023-12-04 00:00:00,441543,446439,424410,430285,482073
2023-12-05 00:00:00,430284,437627,427347,434690,197378
2023-12-06 00:00:00,435668,435668,423430,424410,357507
2023-12-07 00:00:00,429795,437627,426368,434201,274324
2023-12-08 00:00:00,438605,447417,435179,440564,224967
2023-12-11 00:00:00,441543,447417,431263,436648,312519
2023-12-12 00:00:00,437138,440075,433711,436159,239635
2023-12-13 00:00:00,432731,433710,420004,420494,317809
2023-12-14 00:00:00,427347,441054,421962,439096,495187
2023-12-15 00:00:00,449865,457207,439585,443012,488835
2023-12-18 00:00:00,447907,449375,440564,442033,219252
2023-12-19 00:00:00,441543,443012,437137,441054,218191
2023-12-20 00:00:00,443991,453292,443501,452313,315604
2023-12-21 00:00:00,445459,446927,440074,441543,248496
2023-12-22 00:00:00,444480,447417,441054,441054,170208
2023-12-26 00:00:00,444480,446927,437137,437627,144205
2023-12-27 00:00:00,441543,449375,440564,445949,176842
2023-12-28 00:00:00,453781,462103,448396,462103,307495
2024-01-02 00:00:00,459166,459655,453291,457208,199396
2024-01-03 00:00:00,452313,452313,437138,437138,357754
2024-01-04 00:00:00,435179,439095,430773,435669,206193
2024-01-05 00:00:00,436158,439585,432731,435669,176653
2024-01-08 00:00:00,435669,436648,426368,426858,218516
2024-01-09 00:00:00,432732,432732,422942,422942,215194
2024-01-10 00:00:00,420983,422452,407277,407767,574394
2024-01-11 00:00:00,406787,412662,406787,407767,338326
2024-01-12 00:00:00,408256,409724,396997,399445,377272
2024-01-15 00:00:00,391613,395529,388186,391613,345145
2024-01-16 00:00:00,390144,396997,386717,386718,319389
2024-01-17 00:00:00,386717,389165,371053,371053,522710
2024-01-18 00:00:00,364199,380353,359793,368605,487846
2024-01-19 00:00:00,372032,376437,365668,366158,336322
2024-01-22 00:00:00,366157,368115,350493,350493,584009
2024-01-23 00:00:00,346577,354899,346577,350983,544512
2024-01-24 00:00:00,350982,353919,342660,346577,530821
2024-01-25 00:00:00,343640,346088,337766,340214,445674
2024-01-26 00:00:00,335318,358325,334828,352941,609969
2024-01-29 00:00:00,355878,375948,352940,371053,569232
2024-01-30 00:00:00,375458,381821,365667,366647,536075
2024-01-31 00:00:00,363220,376926,360772,364689,360227
2024-02-01 00:00:00,361263,371543,358326,369585,311808
2024-02-02 00:00:00,369095,386718,368605,384760,388517
2024-02-05 00:00:00,387696,390633,378885,378885,334205
2024-02-06 00:00:00,374479,376927,366158,366158,356291
2024-02-07 00:00:00,370073,386717,370073,373990,464025
2024-02-08 00:00:00,384759,386227,376927,376927,376113
2024-02-13 00:00:00,382801,384759,377905,382801,258982
2024-02-14 00:00:00,376927,381822,372032,378396,210153
2024-02-15 00:00:00,384759,384759,377416,377906,264000
2024-02-16 00:00:00,385738,399934,385738,396018,532406
2024-02-19 00:00:00,391612,396018,385738,386228,354173
2024-02-20 00:00:00,385738,387697,377906,386718,236483
2024-02-21 00:00:00,384759,392592,382801,391613,181919
2024-02-22 00:00:00,393571,393571,386717,386718,208560
2024-02-23 00:00:00,387696,388675,379864,380354,244399
2024-02-26 00:00:00,379863,385738,377905,382801,186920
2024-02-27 00:00:00,382801,385248,373011,373011,266562
2024-02-28 00:00:00,376438,384759,373501,373501,195383
2024-02-29 00:00:00,373011,374479,368115,369095,251400
2024-03-04 00:00:00,369584,374968,365667,366647,308703
2024-03-05 00:00:00,363220,363710,358325,358815,303089
2024-03-06 00:00:00,357346,361262,355388,356857,225081
2024-03-07 00:00:00,361262,408256,360283,403361,1809774
2024-03-08 00:00:00,411683,433222,409235,417068,1802291
2024-03-11 00:00:00,412172,415599,402382,404830,545371
2024-03-12 00:00:00,412661,451333,412661,449865,1501551
2024-03-13 00:00:00,443990,458676,437627,449865,1083378
2024-03-14 00:00:00,444969,455249,432242,436648,816906
2024-03-15 00:00:00,427837,428816,413151,416089,802005
2024-03-18 00:00:00,416088,438606,415598,434690,581497
2024-03-19 00:00:00,442032,444969,429305,441543,669961
2024-03-20 00:00:00,441054,461614,436159,443502,930363
2024-03-21 00:00:00,446438,455249,444480,445949,549000
2024-03-22 00:00:00,444970,465040,443991,462593,796085
2024-03-25 00:00:00,467977,484131,465040,475810,858494
2024-03-26 00:00:00,478257,483152,461613,463082,840074
2024-03-27 00:00:00,466998,481194,466508,470425,589500
2024-03-28 00:00:00,476788,477767,465529,467488,495505
2024-03-29 00:00:00,467487,467977,450354,461124,599344
2024-04-01 00:00:00,459166,460145,443991,444481,465417
2024-04-02 00:00:00,443502,453781,443012,443502,376911
2024-04-03 00:00:00,432242,435669,419026,419026,613988
2024-04-04 00:00:00,424899,438606,422941,432732,458990
2024-04-05 00:00:00,424410,425389,411193,411683,438888
2024-04-08 00:00:00,406787,419514,398465,411193,470970
2024-04-09 00:00:00,416088,417557,402382,402382,320217
2024-04-11 00:00:00,394550,406788,392592,398956,322915
2024-04-12 00:00:00,401403,402382,392592,392592,275430
2024-04-15 00:00:00,388186,392592,384270,385739,280264
2024-04-16 00:00:00,378885,382801,376437,378396,250501
2024-04-17 00:00:00,380353,391122,377906,377906,272778
2024-04-18 00:00:00,381822,399444,381822,396997,329291
2024-04-19 00:00:00,391612,402871,386717,392592,342220
2024-04-22 00:00:00,400424,412662,395039,412662,349602
2024-04-23 00:00:00,408256,413641,398466,398466,300876
2024-04-24 00:00:00,413152,419515,408256,413152,345154
