date,investor,sell,buy,net
2025-05-21,금융투자,16902,33442,16540
2025-05-21,보험,8269,77,-8192
2025-05-21,투신,11232,2213,-9019
2025-05-21,사모,4536,0,-4536
2025-05-21,은행,0,0,0
2025-05-21,기타금융,11,6,-5
2025-05-21,연기금 등,25356,7882,-17474
2025-05-21,기관합계,66306,43620,-22686
2025-05-21,기타법인,2073,108,-1965
2025-05-21,개인,122444,105688,-16756
2025-05-21,외국인,100727,142098,41371
2025-05-21,기타외국인,63,99,36
2025-05-21,전체,291613,291613,0
2025-05-22,금융투자,48540,60459,11919
2025-05-22,보험,1671,713,-958
2025-05-22,투신,7835,1925,-5910
2025-05-22,사모,1798,1730,-68
2025-05-22,은행,0,0,0
2025-05-22,기타금융,17,13,-4
2025-05-22,연기금 등,28147,24512,-3635
2025-05-22,기관합계,88008,89352,1344
2025-05-22,기타법인,1405,2501,1096
2025-05-22,개인,159413,194049,34636
2025-05-22,외국인,144535,108874,-35661
2025-05-22,기타외국인,2371,956,-1415
2025-05-22,전체,395732,395732,0
2025-05-23,금융투자,39848,34558,-5290
2025-05-23,보험,4398,1963,-2435
2025-05-23,투신,9464,3088,-6376
2025-05-23,사모,1270,209,-1061
2025-05-23,은행,0,0,0
2025-05-23,기타금융,9,9,0
2025-05-23,연기금 등,23095,16814,-6281
2025-05-23,기관합계,78084,56641,-21443
2025-05-23,기타법인,680,244,-436
2025-05-23,개인,71158,135075,63917
2025-05-23,외국인,117960,75783,-42177
2025-05-23,기타외국인,238,377,139
2025-05-23,전체,268120,268120,0
2025-05-26,금융투자,24900,72246,47346
2025-05-26,보험,3149,1870,-1279
2025-05-26,투신,19345,10239,-9106
2025-05-26,사모,933,557,-376
2025-05-26,은행,12,0,-12
2025-05-26,기타금융,6,6,0
2025-05-26,연기금 등,14639,15239,600
2025-05-26,기관합계,62984,100157,37173
2025-05-26,기타법인,167,1510,1343
2025-05-26,개인,211452,121190,-90262
2025-05-26,외국인,121881,173353,51472
2025-05-26,기타외국인,506,780,274
2025-05-26,전체,396990,396990,0
2025-05-27,금융투자,31737,50597,18860
2025-05-27,보험,6069,352,-5717
2025-05-27,투신,5338,1952,-3386
2025-05-27,사모,796,193,-603
2025-05-27,은행,0,12,12
2025-05-27,기타금융,9,9,0
2025-05-27,연기금 등,22844,15599,-7245
2025-05-27,기관합계,66793,68714,1921
2025-05-27,기타법인,1265,1251,-14
2025-05-27,개인,60309,331804,271495
2025-05-27,외국인,359814,85371,-274443
2025-05-27,기타외국인,21,1062,1041
2025-05-27,전체,488202,488202,0
2025-05-28,금융투자,75404,163960,88556
2025-05-28,보험,1058,9427,8369
2025-05-28,투신,840,17303,16463
2025-05-28,사모,11102,5610,-5492
2025-05-28,은행,12,0,-12
2025-05-28,기타금융,784,1807,1023
2025-05-28,연기금 등,25238,60299,35061
2025-05-28,기관합계,114438,258406,143968
2025-05-28,기타법인,1051,4707,3656
2025-05-28,개인,679275,301042,-378233
2025-05-28,외국인,205637,438190,232553
2025-05-28,기타외국인,2511,567,-1944
2025-05-28,전체,1002912,1002912,0
2025-05-29,금융투자,23462,72663,49201
2025-05-29,보험,2963,2757,-206
2025-05-29,투신,4713,1289,-3424
2025-05-29,사모,393,888,495
2025-05-29,은행,0,11,11
2025-05-29,기타금융,31,7,-24
2025-05-29,연기금 등,18098,25562,7464
2025-05-29,기관합계,49660,103177,53517
2025-05-29,기타법인,844,4501,3657
2025-05-29,개인,201791,278756,76965
2025-05-29,외국인,304917,170957,-133960
2025-05-29,기타외국인,703,524,-179
2025-05-29,전체,557915,557915,0
2025-05-30,금융투자,13719,47288,33569
2025-05-30,보험,1893,785,-1108
2025-05-30,투신,7286,3550,-3736
2025-05-30,사모,2300,182,-2118
2025-05-30,은행,0,0,0
2025-05-30,기타금융,21,4,-17
2025-05-30,연기금 등,13354,18302,4948
2025-05-30,기관합계,38573,70111,31538
2025-05-30,기타법인,4,4949,4945
2025-05-30,개인,117316,289440,172124
2025-05-30,외국인,852910,643581,-209329
2025-05-30,기타외국인,412,1134,722
2025-05-30,전체,1009215,1009215,0
2025-06-02,금융투자,42355,40711,-1644
2025-06-02,보험,268,6910,6642
2025-06-02,투신,9322,74480,65158
2025-06-02,사모,403,734,331
2025-06-02,은행,31,0,-31
2025-06-02,기타금융,4,4,0
2025-06-02,연기금 등,6469,34489,28020
2025-06-02,기관합계,58852,157328,98476
2025-06-02,기타법인,1187,10040,8853
2025-06-02,개인,160258,181042,20784
2025-06-02,외국인,217152,89225,-127927
2025-06-02,기타외국인,812,626,-186
2025-06-02,전체,438261,438261,0
2025-06-04,금융투자,61914,35492,-26422
2025-06-04,보험,1504,784,-720
2025-06-04,투신,6448,2601,-3847
2025-06-04,사모,366,3095,2729
2025-06-04,은행,0,0,0
2025-06-04,기타금융,35,6,-29
2025-06-04,연기금 등,7915,13857,5942
2025-06-04,기관합계,78182,55835,-22347
2025-06-04,기타법인,777,14070,13293
2025-06-04,개인,176172,295869,119697
2025-06-04,외국인,247877,137049,-110828
2025-06-04,기타외국인,456,641,185
2025-06-04,전체,503464,503464,0
2025-06-05,금융투자,37763,58625,20862
2025-06-05,보험,2885,333,-2552
2025-06-05,투신,1820,1836,16
2025-06-05,사모,435,485,50
2025-06-05,은행,0,0,0
2025-06-05,기타금융,404,6,-398
2025-06-05,연기금 등,7628,12017,4389
2025-06-05,기관합계,50935,73302,22367
2025-06-05,기타법인,701,3769,3068
2025-06-05,개인,202713,167695,-35018
2025-06-05,외국인,115660,125374,9714
2025-06-05,기타외국인,417,286,-131
2025-06-05,전체,370426,370426,0
2025-06-09,금융투자,58430,64662,6232
2025-06-09,보험,5987,35,-5952
2025-06-09,투신,12100,370,-11730
2025-06-09,사모,2630,0,-2630
2025-06-09,은행,2,11,9
2025-06-09,기타금융,38,11,-27
2025-06-09,연기금 등,26272,17151,-9121
2025-06-09,기관합계,105459,82240,-23219
2025-06-09,기타법인,1646,3798,2152
2025-06-09,개인,107508,274714,167206
2025-06-09,외국인,275187,128257,-146930
2025-06-09,기타외국인,115,906,791
2025-06-09,전체,489915,489915,0
2025-06-10,금융투자,68365,45137,-23228
2025-06-10,보험,3160,594,-2566
2025-06-10,투신,4259,2629,-1630
2025-06-10,사모,462,4443,3981
2025-06-10,은행,215,0,-215
2025-06-10,기타금융,6,6,0
2025-06-10,연기금 등,19918,21358,1440
2025-06-10,기관합계,96385,74167,-22218
2025-06-10,기타법인,4215,1380,-2835
2025-06-10,개인,122828,221361,98533
2025-06-10,외국인,202626,128804,-73822
2025-06-10,기타외국인,186,528,342
2025-06-10,전체,426240,426240,0
2025-06-11,금융투자,67068,114856,47788
2025-06-11,보험,2628,1445,-1183
2025-06-11,투신,1963,5089,3126
2025-06-11,사모,826,5141,4315
2025-06-11,은행,477,6,-471
2025-06-11,기타금융,291,7,-284
2025-06-11,연기금 등,13929,15257,1328
2025-06-11,기관합계,87182,141801,54619
2025-06-11,기타법인,1309,1164,-145
2025-06-11,개인,236318,225745,-10573
2025-06-11,외국인,278611,234139,-44472
2025-06-11,기타외국인,271,842,571
2025-06-11,전체,603691,603691,0
2025-06-12,금융투자,472910,276118,-196792
2025-06-12,보험,2600,2510,-90
2025-06-12,투신,5668,150485,144817
2025-06-12,사모,48779,6534,-42245
2025-06-12,은행,32,186,154
2025-06-12,기타금융,6,4,-2
