date,investor,sell,buy,net
2025-05-21,금융투자,392400,593455,201055
2025-05-21,보험,72540,63738,-8802
2025-05-21,투신,167054,44213,-122841
2025-05-21,사모,119139,54763,-64376
2025-05-21,은행,498,2107,1609
2025-05-21,기타금융,15678,3219,-12459
2025-05-21,연기금 등,2474717,2143573,-331144
2025-05-21,기관합계,3242026,2905068,-336958
2025-05-21,기타법인,25950,60253,34303
2025-05-21,개인,1066150,2213615,1147465
2025-05-21,외국인,3459111,2608898,-850213
2025-05-21,기타외국인,944,6347,5403
2025-05-21,전체,7794181,7794181,0
2025-05-22,금융투자,2250981,987583,-1263398
2025-05-22,보험,151344,55425,-95919
2025-05-22,투신,401374,166925,-234449
2025-05-22,사모,339427,18477,-320950
2025-05-22,은행,2856,37309,34453
2025-05-22,기타금융,11767,2020,-9747
2025-05-22,연기금 등,4687032,4504927,-182105
2025-05-22,기관합계,7844781,5772666,-2072115
2025-05-22,기타법인,50372,315410,265038
2025-05-22,개인,969397,5939050,4969653
2025-05-22,외국인,6388903,3198984,-3189919
2025-05-22,기타외국인,825,28168,27343
2025-05-22,전체,15254278,15254278,0
2025-05-23,금융투자,1132996,249757,-883239
2025-05-23,보험,40938,31362,-9576
2025-05-23,투신,97533,161071,63538
2025-05-23,사모,51797,78560,26763
2025-05-23,은행,11136,18,-11118
2025-05-23,기타금융,1916,11724,9808
2025-05-23,연기금 등,3463198,3288859,-174339
2025-05-23,기관합계,4799514,3821351,-978163
2025-05-23,기타법인,50499,224502,174003
2025-05-23,개인,1011444,4435159,3423715
2025-05-23,외국인,5383113,2748991,-2634122
2025-05-23,기타외국인,2545,17112,14567
2025-05-23,전체,11247115,11247115,0
2025-05-26,금융투자,686649,1915203,1228554
2025-05-26,보험,121186,39935,-81251
2025-05-26,투신,261306,303908,42602
2025-05-26,사모,61778,84276,22498
2025-05-26,은행,28324,173,-28151
2025-05-26,기타금융,1252,14,-1238
2025-05-26,연기금 등,4242019,4121151,-120868
2025-05-26,기관합계,5402514,6464660,1062146
2025-05-26,기타법인,100644,243935,143291
2025-05-26,개인,1557128,2432021,874893
2025-05-26,외국인,3838606,1747237,-2091369
2025-05-26,기타외국인,2445,13484,11039
2025-05-26,전체,10901337,10901337,0
2025-05-27,금융투자,451080,1294893,843813
2025-05-27,보험,100042,25420,-74622
2025-05-27,투신,209291,64537,-144754
2025-05-27,사모,192553,33745,-158808
2025-05-27,은행,53484,156,-53328
2025-05-27,기타금융,4562,4395,-167
2025-05-27,연기금 등,4012265,4022218,9953
2025-05-27,기관합계,5023277,5445364,422087
2025-05-27,기타법인,11842,347205,335363
2025-05-27,개인,970264,5209685,4239421
2025-05-27,외국인,7430114,2424377,-5005737
2025-05-27,기타외국인,4023,12889,8866
2025-05-27,전체,13439520,13439520,0
2025-05-28,금융투자,425743,3392821,2967078
2025-05-28,보험,57915,265885,207970
2025-05-28,투신,228208,297696,69488
2025-05-28,사모,114834,301924,187090
2025-05-28,은행,50190,90862,40672
2025-05-28,기타금융,91828,9410,-82418
2025-05-28,연기금 등,4717447,4813304,95857
2025-05-28,기관합계,5686165,9171902,3485737
2025-05-28,기타법인,788531,21502,-767029
2025-05-28,개인,7055521,2208703,-4846818
2025-05-28,외국인,3964611,6102414,2137803
2025-05-28,기타외국인,21455,11762,-9693
2025-05-28,전체,17516283,17516283,0
2025-05-29,금융투자,647451,2041017,1393566
2025-05-29,보험,61313,68269,6956
2025-05-29,투신,349127,117131,-231996
2025-05-29,사모,162406,197098,34692
2025-05-29,은행,213,23548,23335
2025-05-29,기타금융,21235,9,-21226
2025-05-29,연기금 등,3109104,2996363,-112741
2025-05-29,기관합계,4350849,5443435,1092586
2025-05-29,기타법인,59435,164026,104591
2025-05-29,개인,3138732,2088828,-1049904
2025-05-29,외국인,5374040,5238527,-135513
2025-05-29,기타외국인,13754,1994,-11760
2025-05-29,전체,12936810,12936810,0
2025-05-30,금융투자,596515,1399641,803126
2025-05-30,보험,218735,107258,-111477
2025-05-30,투신,364277,839905,475628
2025-05-30,사모,130721,333816,203095
2025-05-30,은행,26902,21943,-4959
2025-05-30,기타금융,1906,14933,13027
