date,investor,sell,buy,net
2025-11-14,금융투자,69939,22596,-47343
2025-11-14,보험,2801,623,-2178
2025-11-14,투신,9468,3790,-5678
2025-11-14,사모,32033,1642,-30391
2025-11-14,은행,27,89,62
2025-11-14,기타금융,421,18,-403
2025-11-14,연기금 등,56437,33642,-22795
2025-11-14,기관합계,171126,62400,-108726
2025-11-14,기타법인,1578,13178,11600
2025-11-14,개인,123584,417538,293954
2025-11-14,외국인,248312,50827,-197485
2025-11-14,기타외국인,113,770,657
2025-11-14,전체,544713,544713,0
2025-11-17,금융투자,25328,20700,-4628
2025-11-17,보험,783,215,-568
2025-11-17,투신,6616,1260,-5356
2025-11-17,사모,20997,29228,8231
2025-11-17,은행,62,9,-53
2025-11-17,기타금융,7,7,0
2025-11-17,연기금 등,27255,35678,8423
2025-11-17,기관합계,81048,87097,6049
2025-11-17,기타법인,1693,9927,8234
2025-11-17,개인,104207,173771,69564
2025-11-17,외국인,136587,52948,-83639
2025-11-17,기타외국인,722,514,-208
2025-11-17,전체,324257,324257,0
2025-11-18,금융투자,32928,9561,-23367
2025-11-18,보험,2028,811,-1217
2025-11-18,투신,29208,1343,-27865
2025-11-18,사모,31792,63,-31729
2025-11-18,은행,1948,34,-1914
2025-11-18,기타금융,18,19,1
2025-11-18,연기금 등,59001,37322,-21679
2025-11-18,기관합계,156923,49153,-107770
2025-11-18,기타법인,8725,6622,-2103
2025-11-18,개인,219738,322443,102705
2025-11-18,외국인,134324,141045,6721
2025-11-18,기타외국인,408,855,447
2025-11-18,전체,520118,520118,0
2025-11-19,금융투자,18265,28169,9904
2025-11-19,보험,1910,854,-1056
2025-11-19,투신,10058,808,-9250
2025-11-19,사모,987,1103,116
2025-11-19,은행,26,6,-20
2025-11-19,기타금융,15,16,1
2025-11-19,연기금 등,66566,48772,-17794
2025-11-19,기관합계,97827,79728,-18099
2025-11-19,기타법인,8954,2456,-6498
2025-11-19,개인,208147,183261,-24886
2025-11-19,외국인,98065,148059,49994
2025-11-19,기타외국인,851,340,-511
2025-11-19,전체,413844,413844,0
2025-11-20,금융투자,32165,33822,1657
2025-11-20,보험,887,355,-532
2025-11-20,투신,4910,7451,2541
2025-11-20,사모,11966,855,-11111
2025-11-20,은행,0,33,33
2025-11-20,기타금융,4,4,0
2025-11-20,연기금 등,33907,20934,-12973
2025-11-20,기관합계,83839,63454,-20385
2025-11-20,기타법인,1082,1390,308
2025-11-20,개인,96968,122979,26011
2025-11-20,외국인,65231,59016,-6215
2025-11-20,기타외국인,406,687,281
2025-11-20,전체,247526,247526,0
2025-11-21,금융투자,34481,25886,-8595
2025-11-21,보험,1412,421,-991
2025-11-21,투신,24129,675,-23454
2025-11-21,사모,19799,10615,-9184
2025-11-21,은행,203,68,-135
2025-11-21,기타금융,252,12,-240
2025-11-21,연기금 등,25371,31278,5907
2025-11-21,기관합계,105647,68955,-36692
2025-11-21,기타법인,17884,5221,-12663
2025-11-21,개인,123227,147985,24758
2025-11-21,외국인,98150,122383,24233
2025-11-21,기타외국인,252,616,364
2025-11-21,전체,345160,345160,0
2025-11-24,금융투자,19298,56623,37325
2025-11-24,보험,2696,193,-2503
2025-11-24,투신,25776,1335,-24441
2025-11-24,사모,1883,1027,-856
2025-11-24,은행,0,0,0
2025-11-24,기타금융,14,14,0
2025-11-24,연기금 등,45769,48146,2377
2025-11-24,기관합계,95436,107338,11902
2025-11-24,기타법인,5410,1837,-3573
2025-11-24,개인,159844,157943,-1901
2025-11-24,외국인,547454,541513,-5941
2025-11-24,기타외국인,743,256,-487
2025-11-24,전체,808887,808887,0
